pid,time,memory,cpu
6352,1638981836.817624,2318336,93.3
6353,1638981836.8377678,2330624,88.0
6350,1638981836.7876558,3534848,0.0
6353,1638981838.048531,2330624,75.5
6352,1638981838.032908,2318336,76.7
6350,1638981838.056572,3534848,0.0
6350,1638981839.2032561,3534848,0.0
6352,1638981839.215807,2318336,100.0
6353,1638981839.2324638,2330624,100.1
6352,1638981840.355582,2318336,98.3
6350,1638981840.3649569,3534848,0.0
6353,1638981840.365115,2330624,98.3
6353,1638981841.4906318,2330624,98.3
6350,1638981841.490981,3534848,0.0
6352,1638981841.4908218,2318336,94.7
6353,1638981842.679873,2330624,97.1
6352,1638981842.712733,2318336,84.8
6350,1638981842.7334359,3534848,0.0
6353,1638981843.853324,2330624,76.2
6352,1638981843.853482,2318336,76.6
6350,1638981843.853122,3534848,0.0
6352,1638981845.000083,2318336,99.2
6353,1638981845.000282,2330624,97.5
6350,1638981845.000437,3534848,0.0
6352,1638981846.129141,2318336,97.9
6350,1638981846.1292841,3534848,0.0
6353,1638981846.1289668,2330624,96.4
6352,1638981847.3525188,2318336,97.1
6353,1638981847.376944,2330624,98.4
6350,1638981847.38836,3534848,0.0
6352,1638981848.494598,2318336,93.0
6353,1638981848.523754,2330624,81.8
6350,1638981848.5229461,3534848,0.0
6352,1638981849.628039,2318336,99.6
6353,1638981849.655092,2330624,96.7
6350,1638981849.6488829,3534848,0.0
6352,1638981850.783083,2318336,97.0
6353,1638981850.797483,2330624,96.0
6350,1638981850.797291,3534848,0.0
6352,1638981851.9209678,2318336,98.8
6353,1638981851.920762,2330624,96.1
6350,1638981851.9332962,3534848,0.0
6352,1638981853.124471,2318336,101.7
6353,1638981853.147022,2330624,98.0
6350,1638981853.167178,3534848,0.0
6352,1638981854.306711,2318336,97.8
6350,1638981854.340537,3534848,0.0
6353,1638981854.3407302,2330624,96.7
6352,1638981855.4697301,2318336,99.1
6353,1638981855.480448,2330624,102.7
6350,1638981855.48029,3534848,0.0
6352,1638981856.639401,2318336,96.7
6353,1638981856.6526232,2330624,98.1
6350,1638981856.652915,3534848,0.0
6350,1638981857.764193,3534848,0.0
6353,1638981857.764344,2330624,81.1
6352,1638981857.764456,2318336,83.9
6350,1638981858.9271061,3534848,0.0
6352,1638981858.938657,2318336,99.3
6353,1638981858.938847,2330624,103.8
6352,1638981860.078964,2318336,98.6
6353,1638981860.106098,2330624,98.9
6350,1638981860.118023,3534848,0.0
6352,1638981861.293656,2318336,98.8
6350,1638981861.294005,3534848,0.0
6353,1638981861.2938461,2330624,94.9
6353,1638981862.423579,2330624,98.9
6352,1638981862.4233768,2318336,97.7
6350,1638981862.4341462,3534848,0.0
